"Rank","name","pop2021","pop2020","GrowthRate","area","Density"
"193","Antigua and Barbuda","98.7310","97.9290","1.0082","442","223.3733"
"194","Andorra","77.3550","77.2650","1.0012","468","165.2885"
"195","Dominica","72.1670","71.9860","1.0025","751","96.0945"
"196","Marshall Islands","59.6100","59.1900","1.0071","181","329.3370"
"197","Greenland","56.8770","56.7700","1.0019","2166086","0.0263"
"198","Saint Kitts and Nevis","53.5440","53.1990","1.0065","261","205.1494"
"199","Monaco","39.5110","39.2420","1.0069","2","19755.5000"
"200","Liechtenstein","38.2500","38.1280","1.0032","160","239.0625"
"201","San Marino","34.0170","33.9310","1.0025","61","557.6557"
"202","Palau","18.1690","18.0940","1.0041","459","39.5839"
"203","Tuvalu","11.9310","11.7920","1.0118","26","458.8846"
"204","Nauru","10.8760","10.8240","1.0048","21","517.9048"
"205","Vatican City","0.8000","0.8010","0.9988","1","800"
